epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4948,0,76.1296,0,0,0,0,0,0,37.7226,0,0,0,0
2,46.6533,0,75.947,0,0,0,0,0,0,37.7217,0,1.604e-05,1.604e-05,1.604e-05
3,66.898,0,75.7863,0,0,0,0,0,0,37.7206,0,2.416e-05,2.416e-05,2.416e-05
4,82.2643,0,75.6795,0,0,0,0,0,0,37.7198,0,2.436e-05,2.436e-05,2.436e-05
5,96.9737,0,75.4504,0,0,0,0,0,0,37.7209,0,1.664e-05,1.664e-05,1.664e-05
