epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9874,0,76.1296,0,0,0,0,0,0,37.7226,0,0,0,0
2,98.6399,0,75.947,0,0,0,0,0,0,37.7214,0,1.9604e-05,1.9604e-05,1.9604e-05
3,117.907,0,75.7463,0,0,0,0,0,0,37.7189,0,3.8416e-05,3.8416e-05,3.8416e-05
4,139.493,0,75.5089,0,0,0,0,0,0,37.716,0,5.6436e-05,5.6436e-05,5.6436e-05
5,160.592,0,75.1099,0,0,0,0,0,0,37.7147,0,7.3664e-05,7.3664e-05,7.3664e-05
6,181.039,0,74.4388,0,0,0,0,0,0,37.7155,0,9.01e-05,9.01e-05,9.01e-05
7,198.523,0,73.9841,0,0,0,0,0,0,37.7175,0,0.000105744,0.000105744,0.000105744
